ts_micro,frame,wheel,throttle
1777083901757,1,0.0,0.0078125
1777083902642,2,0.0,0.0078125
1777083902673,3,0.0,0.0078125
1777083902691,4,0.0,0.0078125
1777083902707,5,0.0,0.0078125
1777083902720,6,0.0,0.0078125
1777083902735,7,0.0,0.0078125
1777083902749,8,0.0,0.0078125
1777083902764,9,0.0,0.0078125
1777083902778,10,0.0,0.0078125
1777083902792,11,0.0,0.0078125
1777083902806,12,0.0,0.0078125
1777083902820,13,0.0,0.0078125
1777083902836,14,0.0,0.0078125
1777083902851,15,0.0,0.0078125
1777083902865,16,0.0,0.0078125
1777083902879,17,0.0,0.0078125
1777083902895,18,0.0,0.0078125
1777083902912,19,0.0,0.0078125
1777083902926,20,0.0,0.0078125
1777083902941,21,0.0,0.0078125
1777083902955,22,0.0,0.0078125
1777083902971,23,0.0,0.0078125
1777083902985,24,0.0,0.0078125
1777083902999,25,0.0,0.0078125
1777083903014,26,0.0,0.0078125
1777083903032,27,0.0,0.0078125
1777083903046,28,0.0,0.0078125
1777083903062,29,0.0,0.0078125
1777083903076,30,0.0,0.0078125
1777083903093,31,0.0,0.0078125
1777083903107,32,0.0,0.0078125
1777083903122,33,0.0,0.0078125
1777083903136,34,0.0,0.0078125
1777083903152,35,0.0,0.0078125
1777083903166,36,0.0,0.0078125
1777083903181,37,0.0,0.0078125
1777083903198,38,0.0,0.0078125
1777083903212,39,0.0,0.0078125
1777083903226,40,0.0,0.0078125
1777083903242,41,0.0,0.0078125
1777083903259,42,0.0,0.0078125
1777083903273,43,0.0,0.0078125
1777083903289,44,0.0,0.0078125
1777083903303,45,0.0,0.0078125
1777083903318,46,0.0,0.0078125
1777083903332,47,0.0,0.0078125
1777083903348,48,0.0,0.0078125
1777083903361,49,0.0,0.0078125
1777083903390,50,0.0,0.0078125
1777083903424,51,0.0,0.0078125
1777083903457,52,0.0,0.0078125
1777083903490,53,0.0,0.0078125
1777083903523,54,0.0,0.0078125
1777083903557,55,0.0,0.0078125
1777083903590,56,0.0,0.0078125
1777083903623,57,0.0,0.0078125
1777083903657,58,0.0,0.0078125
1777083903690,59,0.0,0.0078125
1777083903724,60,0.0,0.0078125
1777083903757,61,0.0,0.0078125
1777083903790,62,0.0,0.0078125
1777083903824,63,0.0,0.0078125
1777083903857,64,0.0,0.0078125
1777083903890,65,0.0,0.0078125
1777083903924,66,0.0,0.0078125
1777083903957,67,0.0,0.0078125
1777083903992,68,0.0,0.0078125
